tier,fico,approve date,term,amount,car type,competition apr,accept,apr,prime,partner bin
2,715,7/1/2002,60,21000,U,5.85,0,6.19,1.8388,1
4,658,7/1/2002,60,18888.75,U,5.85,1,7.99,1.8388,1
1,764,7/1/2002,60,35000,U,5.85,0,5.85,1.8388,3
2,701,7/1/2002,60,16510,U,5.85,1,6.19,1.8388,1
1,734,7/1/2002,60,27000,U,5.85,0,5.85,1.8388,1
1,731,7/1/2002,60,17500,U,5.85,0,5.85,1.8388,1
2,705,7/1/2002,60,13024.26,U,5.85,1,6.19,1.8388,2
1,779,7/1/2002,60,10000,U,5.85,1,5.85,1.8388,1
2,717,7/1/2002,60,35960,U,5.85,0,6.19,1.8388,3
2,700,7/2/2002,60,16500,U,5.85,1,6.19,1.8388,2
1,742,7/2/2002,60,30500,U,5.85,0,5.85,1.8388,1
1,777,7/2/2002,60,16986.9,U,5.85,1,5.85,1.8388,2
1,765,7/2/2002,60,23337.43,U,5.85,1,5.85,1.8388,2
3,675,7/2/2002,60,18000,U,5.85,1,7.29,1.8388,1
4,643,7/2/2002,60,21160,U,5.85,0,7.99,1.8388,1
1,778,7/2/2002,60,17201.32,U,5.85,1,5.85,1.8388,3
2,708,7/2/2002,60,11369.33,U,5.85,1,6.19,1.8388,3
4,643,7/2/2002,60,12807.9,U,5.85,1,7.99,1.8388,3
4,662,7/2/2002,60,35097,U,5.85,0,7.99,1.8388,3
3,678,7/2/2002,60,13650,U,5.85,1,7.29,1.8388,1
2,704,7/2/2002,60,27000,U,5.85,0,6.19,1.8388,3
2,726,7/2/2002,60,7488.15,U,5.85,1,5.69,1.8388,3
1,780,7/2/2002,60,19661.36,U,5.85,1,5.85,1.8388,2
1,751,7/2/2002,60,25000,U,5.85,0,5.85,1.8388,1
3,682,7/2/2002,60,21804.44,U,5.85,1,7.29,1.8388,2
2,729,7/2/2002,60,22504.2,U,5.85,1,6.19,1.8388,1
2,702,7/2/2002,60,22000,U,5.85,0,6.19,1.8388,3
1,747,7/3/2002,60,10520.97,U,5.85,1,5.85,1.8388,3
3,678,7/3/2002,60,12000,U,5.85,1,7.29,1.8388,2
4,662,7/3/2002,60,22741.99,U,5.85,0,7.99,1.8388,2
2,710,7/3/2002,60,21000,U,5.85,0,6.19,1.8388,1
2,724,7/3/2002,60,17621.17,U,5.85,1,6.19,1.8388,2
1,740,7/3/2002,60,13227.42,U,5.85,1,5.35,1.8388,3
1,785,7/3/2002,60,19000,U,5.85,0,5.85,1.8388,3
4,640,7/3/2002,60,12935,U,5.85,1,7.99,1.8388,3
2,714,7/3/2002,60,31000,U,5.85,0,6.19,1.8388,3
1,793,7/4/2002,60,31000,U,5.85,0,5.69,1.84,3
2,719,7/5/2002,60,18000,U,5.85,0,6.19,1.84,3
4,662,7/5/2002,60,11945,U,5.85,1,7.99,1.84,1
1,756,7/5/2002,60,25000,U,5.85,0,5.85,1.84,3
1,783,7/5/2002,60,12314,U,5.85,0,5.85,1.84,3
1,731,7/5/2002,60,26861.24,U,5.85,0,5.85,1.84,3
3,679,7/5/2002,60,17000,U,5.85,1,7.29,1.84,2
4,662,7/5/2002,60,33911,U,5.85,0,7.99,1.84,1
2,726,7/5/2002,60,13000,U,5.85,1,6.19,1.84,2
2,714,7/5/2002,60,24895,U,5.85,1,6.19,1.84,2
1,782,7/6/2002,60,17500,U,5.85,0,5.85,1.84,3
3,693,7/6/2002,60,19597.95,U,5.85,1,7.29,1.84,1
1,740,7/6/2002,60,28000,U,5.85,0,5.85,1.84,2
4,644,7/6/2002,60,16706.97,U,5.85,1,7.99,1.84,1
1,741,7/6/2002,60,10713.67,U,5.85,1,5.79,1.84,2
3,696,7/6/2002,60,23071,U,5.85,0,7.29,1.84,3
4,664,7/6/2002,60,14214.75,U,5.85,1,7.99,1.84,2
4,640,7/6/2002,60,13995,U,5.85,1,7.99,1.84,3
3,675,7/7/2002,60,28800,U,5.85,0,7.29,1.84,1
3,702,7/7/2002,60,12591.33,U,5.85,0,4.89,1.84,1
3,661,7/7/2002,60,17620,U,5.85,1,6.44,1.84,2
1,770,7/7/2002,60,31500,U,5.85,0,5.85,1.84,1
1,758,7/7/2002,60,22000,U,5.85,0,5.85,1.84,3
2,715,7/7/2002,60,15988.31,U,5.85,1,6.19,1.84,2
1,736,7/7/2002,60,25000,U,5.85,0,5.85,1.84,1
1,744,7/7/2002,60,12818,U,5.85,1,5.85,1.84,2
2,722,7/7/2002,60,22929,U,5.85,0,5.69,1.84,3
3,683,7/7/2002,60,30000,U,5.85,0,7.29,1.84,1
4,664,7/7/2002,60,19000,U,5.85,0,7.99,1.84,1
1,734,7/7/2002,60,40000,U,5.85,0,5.85,1.84,3
1,792,7/7/2002,60,25000,U,5.85,1,5.69,1.84,3
4,662,7/7/2002,60,14799,U,5.85,0,7.99,1.84,3
4,646,7/8/2002,60,22198,U,5.8,0,7.99,1.84,1
1,798,7/8/2002,60,18320.54,U,5.8,1,5.85,1.84,1
3,697,7/8/2002,60,21577.7,U,5.8,1,7.29,1.84,2
1,768,7/9/2002,60,29750,U,5.8,0,5.85,1.84,1
1,774,7/8/2002,60,29000,U,5.8,0,5.85,1.84,3
2,720,7/8/2002,60,13958.08,U,5.8,1,6.19,1.84,1
2,702,7/8/2002,60,20211.04,U,5.8,1,6.19,1.84,2
3,697,7/8/2002,60,12396,U,5.8,1,7.29,1.84,3
1,768,7/8/2002,60,17500,U,5.8,0,5.35,1.84,3
1,822,7/8/2002,60,11600,U,5.8,1,5.85,1.84,3
1,733,7/8/2002,60,16206.91,U,5.8,1,5.85,1.84,1
3,689,7/8/2002,60,65000,U,5.8,0,7.29,1.84,3
1,738,7/9/2002,60,23000,U,5.8,0,5.85,1.84,1
1,774,7/8/2002,60,27500,U,5.8,0,5.85,1.84,1
1,748,7/8/2002,60,25000,U,5.8,0,5.85,1.84,1
1,797,7/9/2002,60,13482.96,U,5.8,1,5.85,1.84,2
1,774,7/9/2002,60,17500,U,5.8,0,5.85,1.84,3
2,721,7/9/2002,60,27000,U,5.8,0,6.19,1.84,1
4,659,7/9/2002,60,29310,U,5.8,0,7.99,1.84,1
4,647,7/9/2002,60,27000,U,5.8,0,7.99,1.84,3
1,782,7/9/2002,60,44895,U,5.8,0,5.85,1.84,1
1,753,7/9/2002,60,17299.9,U,5.8,1,5.85,1.84,1
4,642,7/10/2002,60,35000,U,5.8,1,7.99,1.84,1
1,758,7/9/2002,60,22900,U,5.8,0,5.85,1.84,3
4,663,7/10/2002,60,19059,U,5.8,1,7.99,1.84,2
4,665,7/10/2002,60,39499.93,U,5.8,1,7.99,1.84,2
1,748,7/10/2002,60,11298,U,5.8,1,5.85,1.84,3
1,762,7/10/2002,60,32606.6,U,5.8,1,5.85,1.84,2
4,663,7/10/2002,60,24620,U,5.8,0,7.99,1.84,3
2,709,7/10/2002,60,21051.18,U,5.8,1,6.19,1.84,1
2,707,7/10/2002,60,11278.34,U,5.8,1,6.19,1.84,1
3,677,7/11/2002,60,14220,U,5.8,1,7.29,1.8388,1
1,758,7/10/2002,60,35715,U,5.8,0,5.85,1.84,3
4,660,7/11/2002,60,26000,U,5.8,0,7.99,1.8388,1
1,793,7/11/2002,60,25604.95,U,5.8,1,5.69,1.8388,1
1,814,7/11/2002,60,22000,U,5.8,0,5.85,1.8388,1
1,732,7/11/2002,60,34000,U,5.8,0,5.85,1.8388,1
1,751,7/11/2002,60,20000,U,5.8,0,5.85,1.8388,1
1,767,7/11/2002,60,23880.44,U,5.8,1,5.85,1.8388,1
3,693,7/11/2002,60,31235,U,5.8,1,7.29,1.8388,2
1,760,7/11/2002,60,16976.94,U,5.8,1,5.69,1.8388,2
4,668,7/12/2002,60,8340,U,5.8,0,7.99,1.84,3
4,657,7/12/2002,60,39500,U,5.8,0,7.99,1.84,1
