obs_id	class	default	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	time	year	testing_set	training_set
0	1406	0	0.548690021	0.378212661	0.516405642	1.608841658	0.60241878	0.065173008	0.558508813	0.536596358	0.062997714	0.532268763	0.547395349	0.523966074	0.527832747	0.588315249	0.597900093	0.546846449	0.155963808	0.502328217	0.027304523	0.426306933	0.53759259	0.001444334	0.382383525	0.033176873	1	0	1	2007	1	0
1	1406	0	0.547813177	0.378383219	0.516521514	1.699176192	0.601910889	0.062661611	0.557950497	0.538735151	0.066119984	0.529935658	0.547319233	0.535609186	0.528094351	0.588315249	0.597900093	0.546846449	0.485063225	0.502294898	0.028221952	0.419753611	0.572314918	0.00131114	0.380498171	0.028797524	1	0	2	2008	1	0
2	1406	0	0.549332023	0.378818154	0.514554858	1.73413074	0.603206635	0.063616626	0.559306204	0.541999042	0.071033225	0.518974245	0.547229111	0.510677755	0.530347288	0.588315249	0.597900093	0.546846449	0.49623856	0.502833366	0.028416952	0.408818811	0.583453775	0.001697003	0.381134361	0.030689629	1	0	3	2009	1	0
3	1406	0	0.552237272	0.379318535	0.512807846	1.852135658	0.605442524	0.078868188	0.565012038	0.54396683	0.071943648	0.516387999	0.547229886	0.523034275	0.512931585	0.560429096	0.585927308	0.534045339	1.601482272	0.502776444	0.074687854	0.412033916	0.583256006	0.001229423	0.368000925	0.062206548	0.903143466	0	4	2010	1	0
4	1406	0	0.550136626	0.379199892	0.515377224	1.750649691	0.603519499	0.084289067	0.56009239	0.538465202	0.065065607	0.521779299	0.547249317	0.529362619	0.509711742	0.553178489	0.581012189	0.530258715	1.613892794	0.502461374	0.096814983	0.421086848	0.569078744	0.001033742	0.368143499	0.073117308	0.9227404	0	5	2011	1	0
5	1406	0	0.549123526	0.378952235	0.518033087	1.728850126	0.602687419	0.087869301	0.559898973	0.53689301	0.063099459	0.523359597	0.547237217	0.51842618	0.510909379	0.547388375	0.577156365	0.530424297	0.279484302	0.502533078	0.098111227	0.429115623	0.56142062	0.000874429	0.367125839	0.076072566	0.911897063	0	6	2012	1	0
6	1406	0	0.552527547	0.379131645	0.51623106	1.950204492	0.605175734	0.089473106	0.56420958	0.539477706	0.064321071	0.519971669	0.547224939	0.526659131	0.511514127	0.561037898	0.585840285	0.532835782	0.837636769	0.502639532	0.109241791	0.426122397	0.570003212	0.000828664	0.368752331	0.083709128	0.909606099	0	7	2013	1	0
7	1406	0	0.549654067	0.379195511	0.516934276	1.832592249	0.603281736	0.099034198	0.563837886	0.539462149	0.065771751	0.529170632	0.547285736	0.555512786	0.502941847	0.548054993	0.578867853	0.524932027	-0.118484832	0.502140582	0.114306808	0.42779097	0.576426804	0.001099992	0.367310226	0.094832897	0.871361554	0	8	2014	1	0
8	1406	0	0.549134672	0.379365891	0.51625967	1.807787776	0.602996409	0.100315534	0.563514531	0.54049468	0.067745857	0.52811724	0.547305107	0.565926015	0.499756545	0.542075038	0.578553438	0.524356008	0.719539344	0.502052665	0.129316434	0.424057454	0.580049276	0.001086479	0.367715657	0.105076	0.861700296	0	9	2015	1	0
9	1406	0	0.549026668	0.379627973	0.514962435	1.799638867	0.603081226	0.06514062	0.555303216	0.542781532	0.071779877	0.533371091	0.547303915	0.558905006	0.500823319	0.588315249	0.597900093	0.546846449	0.280582219	0.502160132	0.019700727	0.379543781	0.583159089	0.001143075	0.373798877	0.016522126	0.960023701	0	10	2016	1	0
10	1406	0	0.548947513	0.379888743	0.513629615	1.790498257	0.603124023	0.064852901	0.555169344	0.544597507	0.075097419	0.540071011	0.547390878	0.598289907	0.490563989	0.588315249	0.597900093	0.546846449	0.384321839	0.501877129	0.019700727	0.37297678	0.583391011	0.001093342	0.375321746	0.016794687	0.959525466	0	11	2017	1	0
11	1547	0	0.54400909	0.380165309	0.525489152	0.692743897	0.599245608	0.099966995	0.55598855	0.533210158	0.091253534	0.577038646	0.548210561	0.584694684	0.52652365	0.588315249	0.597900093	0.546846449	0.790939808	0.501211822	0.019700727	0.401271105	0.595331013	9.07367E-05	0.371237576	0.020210806	1	0	1	2007	0	1
12	1547	0	0.544031739	0.379999727	0.528303802	0.66859448	0.599254251	0.096937262	0.55556345	0.532367408	0.08542686	0.631056905	0.54869163	0.651068807	0.524458051	0.588315249	0.597900093	0.546846449	0.548898816	0.501063585	0.019700727	0.404526115	0.591292322	5.55106E-05	0.373152643	0.018725663	1	0	2	2008	0	1
13	1547	0	0.545821726	0.380193979	0.523854792	0.716921508	0.600819886	0.09712822	0.561278105	0.535716772	0.093189746	0.646188855	0.548997104	0.763358951	0.522967637	0.588315249	0.597900093	0.546846449	0.335477531	0.501005471	0.019700727	0.399807721	0.591566384	0.00016754	0.372171313	0.018760841	1	0	3	2009	0	1
14	1547	0	0.543439746	0.380163103	0.52568084	0.656265855	0.598775148	0.084725261	0.554248869	0.534563363	0.100194246	0.621403873	0.549357474	0.78999871	0.530347288	0.588315249	0.597900093	0.546846449	0.125218049	0.500951111	0.115096487	0.395658702	0.586823583	0.000195548	0.372179061	0.079319313	1	0	4	2010	0	1
15	1547	0	0.54346031	0.38025704	0.523464143	0.655786276	0.598800123	0.081740916	0.554243624	0.535429537	0.105410963	0.715872645	0.551460743	0.623249471	0.366952598	0.431478977	0.567610622	0.485037863	0.392389894	0.500873566	0.101896785	0.39286989	0.590422571	0.000162178	0.367480993	0.072140947	0.921513319	0	5	2011	0	1
